x,y
54.685,74.200
61.840,68.992
18.675,69.142
50.439,71.381
37.764,74.283
39.478,56.321
47.695,70.104
29.376,68.931
84.698,77.770
27.257,58.591
59.945,75.897
3.721,46.687
61.287,73.764
46.630,71.905
49.605,78.846
65.475,68.169
93.672,69.845
64.803,78.084
72.103,77.252
68.470,77.622
89.941,80.731
78.771,71.479
72.390,78.559
48.186,63.105
44.410,77.199
50.875,71.268
50.532,76.679
33.650,57.170
76.754,78.055
42.019,61.778
38.990,65.530
50.279,74.159
41.168,59.350
57.808,54.943
65.347,65.307
71.102,83.881
39.669,70.850
37.867,61.573
64.236,67.110
63.415,75.176
54.176,62.113
38.758,68.686
32.732,76.859
66.325,80.695
52.608,76.681
44.897,83.328
50.008,83.784
50.331,75.087
52.252,64.467
42.996,68.019
78.267,74.288
55.004,64.048
60.148,72.225
33.213,70.868
58.357,83.427
59.815,75.709
41.275,54.916
69.404,72.567
49.456,67.601
45.537,55.723
90.342,73.816
45.448,72.819
57.106,70.485
52.111,65.455
59.079,72.017
75.564,64.389
24.735,68.168
44.126,71.319
32.945,60.427
56.158,74.824
62.596,82.904
45.932,63.103
50.406,66.465
56.808,71.277
40.465,70.712
62.839,78.595
60.870,60.503
49.153,57.521
56.023,78.765
33.893,62.140
59.280,71.356
77.006,93.043
61.602,83.452
51.604,78.648
20.768,65.110
19.057,54.168
42.951,60.565
72.551,73.097
68.719,69.168
46.869,64.104
62.201,70.443
63.273,86.290
30.799,72.188
69.146,70.794
59.328,70.114
65.581,68.951
38.770,67.476
39.234,72.318
71.545,65.903
31.619,65.042
36.031,60.500
48.884,64.618
72.601,70.532
94.312,82.493
64.580,72.965
28.332,66.575
57.588,80.688
51.564,80.112
64.492,78.297
33.225,61.866
58.488,75.360
71.496,62.892
40.496,73.544
34.932,64.945
57.525,73.223
70.270,63.098
65.928,84.834
66.727,57.001
68.657,76.987
52.345,70.425
74.018,76.782
39.123,60.967
38.503,57.557
46.273,66.253
43.142,64.539
32.938,55.791
57.387,65.245
48.494,59.873
57.808,67.491
71.277,79.495
67.566,80.761
50.650,84.041
68.513,68.088
55.656,74.548
57.816,75.007
46.556,66.962
92.283,84.118
51.937,67.652
74.701,70.778
56.499,67.706
55.062,68.279
53.723,63.859
40.992,57.870
91.034,90.853
65.281,76.953
58.611,74.520
70.574,80.042
52.041,68.208
28.432,72.003
56.709,77.678
28.113,51.791
59.175,69.653
46.133,69.304
36.595,48.329
67.880,71.517
34.092,70.739
53.421,73.256
48.907,65.664
47.704,65.611
16.084,68.416
52.653,75.152
19.962,58.413
66.395,76.907
35.080,54.065
56.297,66.017
54.081,59.620
65.328,93.215
64.925,68.568
45.000,59.127
40.668,73.589
43.752,61.256
63.505,84.597
48.469,77.317
43.662,63.196
55.799,62.800
57.657,63.243
33.812,68.538
30.670,69.924
61.201,66.425
60.772,81.625
45.078,68.427
39.025,57.347
53.831,79.949
79.971,71.462
33.359,62.629
93.137,75.693
26.391,64.956
51.288,65.656
59.731,73.128
68.365,90.992
44.052,65.863
68.976,68.254
17.636,59.192
27.361,50.299
63.463,77.595
42.418,95.327
54.672,76.928
57.942,72.726
60.581,82.359
53.920,73.688
36.586,68.706
46.933,68.115
29.077,66.501
44.921,68.952
63.988,69.621
0.606,60.101
70.194,67.624
71.751,69.719
72.972,79.950
78.970,73.277
61.884,68.597
52.494,71.703
45.596,76.718
30.464,69.033
79.815,67.587
47.097,70.753
57.825,74.861
61.762,56.783
50.406,72.887
18.759,74.100
54.716,76.274
49.132,73.471
72.378,65.547
43.089,69.857
81.949,83.262
67.254,73.201
47.391,63.944
56.956,75.559
66.092,84.562
82.084,72.987
45.558,56.236
45.713,66.456
63.025,74.201
56.563,74.481
42.314,70.816
51.868,67.592
63.517,74.899
59.808,75.278
67.062,74.137
79.911,89.176
27.645,65.746
54.839,77.042
55.199,57.240
67.432,75.443
51.508,66.187
60.945,78.182
60.259,79.345
40.856,65.797
15.187,62.005
26.425,70.723
65.162,71.705
78.626,83.083
50.936,59.744
60.093,73.357
27.782,54.883
63.773,68.376
32.256,67.081
73.833,78.435
41.860,70.512
48.566,69.534
78.455,56.964
42.278,67.578
35.759,52.264
30.990,78.011
58.316,64.989
43.291,62.244
61.599,76.813
46.483,69.416
38.970,65.228
63.959,72.977
71.473,72.527
59.623,68.867
50.152,70.355
45.247,68.576
50.555,62.515
37.905,61.423
62.496,86.592
65.479,79.326
61.564,89.708
64.228,77.559
39.525,76.625
20.894,63.671
40.997,78.362
70.955,76.688
64.039,63.285
50.517,66.074
60.814,72.009
46.243,72.358
76.184,76.900
49.964,64.931
55.776,72.788
48.301,76.255
57.931,67.872
57.657,70.497
67.975,80.196
28.021,64.148
65.253,67.228
46.484,67.124
45.950,68.900
57.613,68.370
41.711,62.733
59.852,78.925
63.794,87.084
50.673,67.409
78.398,85.574
68.383,67.771
55.810,81.753
70.219,69.195
41.742,62.926
62.230,68.073
46.826,68.650
65.283,80.318
50.430,75.481
23.418,60.696
72.077,82.834
52.434,69.438
50.615,78.382
56.316,81.374
40.163,64.183
46.592,72.040
69.998,66.470
39.340,60.472
78.310,75.664
65.837,80.126
76.515,81.776
41.136,55.597
55.731,81.375
62.627,86.733
36.037,53.782
49.987,79.199
54.327,65.730
97.041,86.030
33.539,59.646
43.881,70.080
46.011,58.552
21.731,56.331
58.206,60.959
51.421,72.704
21.112,57.099
78.684,79.597
55.001,71.965
59.580,69.389
65.965,72.601
34.299,60.918
39.707,63.400
52.106,62.703
41.280,64.277
49.303,62.510
72.174,77.831
39.241,59.851
49.920,77.082
62.451,73.073
40.627,69.918
49.195,70.415
56.673,71.356
34.813,58.273
55.472,74.749
50.505,68.501
32.201,52.583
76.751,84.573
59.966,87.469
64.776,77.633
56.751,61.162
27.729,61.941
39.342,62.405
63.642,81.851
52.522,66.848
54.042,60.320
30.009,61.393
59.197,62.976
47.206,62.158
59.285,75.948
25.502,65.444
79.666,77.542
62.739,82.702
58.541,73.107
49.634,76.029
41.884,63.003
23.772,55.896
55.991,68.511
61.250,63.392
44.418,66.692
46.426,67.276
46.408,87.073
65.911,70.671
85.612,75.846
7.554,65.945
43.622,63.448
40.688,78.952
66.326,79.455
34.287,75.010
63.349,76.980
28.076,53.692
54.813,62.736
56.091,74.828
53.961,65.562
44.684,78.132
59.395,65.000
53.131,57.939
58.526,75.919
72.010,73.344
34.706,61.924
26.924,64.411
79.031,72.072
40.398,72.410
46.261,74.872
53.989,57.574
43.013,67.570
42.460,66.141
39.620,66.827
60.635,71.713
44.700,71.865
17.004,65.304
67.380,73.934
48.965,70.163
60.947,61.123
69.386,86.440
42.932,64.559
36.955,66.850
51.203,65.414
44.593,75.548
31.663,70.947
46.500,61.209
59.809,76.676
29.029,63.106
48.329,68.666
96.544,73.003
34.008,68.023
71.896,79.118
81.623,72.060
50.611,73.051
62.107,69.436
40.123,69.135
67.232,85.166
50.153,63.014
62.465,68.733
38.153,58.698
44.204,67.239
68.990,79.517
68.951,65.476
53.629,69.576
29.474,52.666
58.942,79.318
17.055,61.582
46.632,72.548
62.091,67.846
26.584,59.386
26.854,65.015
65.517,65.925
74.264,68.639
55.200,78.806
67.711,71.569
57.086,83.277
64.787,75.781
72.235,79.252
25.654,67.603
45.850,72.563
54.301,74.230
29.108,68.907
43.563,62.955
63.202,68.009
36.959,60.418
20.329,68.710
47.408,69.118
51.597,59.553
64.217,69.685
60.518,65.715
72.064,66.666
68.786,72.544
40.374,66.493
43.836,63.648
56.029,74.113
35.871,66.444
50.975,70.019
58.857,81.020
64.325,84.960
37.566,71.786
53.137,74.828
79.283,69.315
63.182,65.229
61.902,67.754
60.942,75.146
66.622,70.685
59.363,78.923
54.343,68.570
57.541,61.465
54.559,76.718
50.685,62.739
88.830,76.994
56.471,74.922
48.821,61.030
43.967,82.602
59.515,82.253
66.325,79.265
70.891,75.962
60.771,84.333
61.679,90.490
61.515,73.718
57.171,63.071
39.845,75.889
